query,x[m],y[m],z[m],th[deg],ph[deg],query_pix,dilated_pix,lapse time[ms]
0,\workspa,e\UMap\S,N\gazebo,am\que,\query,0,0,729
DB No.,x[m],y[m],z[m],th[deg],ph[deg],A,B,Bcon,C,D,E,Econ,F,sim_index,SPV_and,SPV_in, SPV_db 
0057648,-007.000,-001.600,0000.200,0000.0,0000.0,0,0,0,0,3218,24319,14140,33903,0,0,0,0
0057649,-006.800,-001.600,0000.200,0000.0,0000.0,0,0,0,0,3727,25333,14657,32380,0,0,0,0
0057650,-006.600,-001.600,0000.200,0000.0,0000.0,0,0,0,0,3568,25936,14941,31936,0,0,0,0
0057651,-006.400,-001.600,0000.200,0000.0,0000.0,0,0,0,0,3661,26617,15176,31162,0,0,0,0
0057652,-006.200,-001.600,0000.200,0000.0,0000.0,0,0,0,0,3155,24187,13748,34098,0,0,0,0
0057653,-006.000,-001.600,0000.200,0000.0,0000.0,0,0,0,0,3226,24444,13925,33770,0,0,0,0
0057654,-005.800,-001.600,0000.200,0000.0,0000.0,0,0,0,0,3361,25103,14432,32976,0,0,0,0
0057655,-005.600,-001.600,0000.200,0000.0,0000.0,0,0,0,0,3570,25448,14475,32422,0,0,0,0
0057656,-005.400,-001.600,0000.200,0000.0,0000.0,0,0,0,0,3517,25659,14598,32264,0,0,0,0
0057657,-005.200,-001.600,0000.200,0000.0,0000.0,0,0,0,0,2968,23533,13324,34939,0,0,0,0
0057658,-005.000,-001.600,0000.200,0000.0,0000.0,0,0,0,0,3107,24177,13643,34156,0,0,0,0
0057659,-004.800,-001.600,0000.200,0000.0,0000.0,0,0,0,0,3066,22468,12646,35906,0,0,0,0
0057660,-004.600,-001.600,0000.200,0000.0,0000.0,0,0,0,0,3466,24577,13839,33397,0,0,0,0
0057661,-004.400,-001.600,0000.200,0000.0,0000.0,0,0,0,0,3273,22745,12927,35422,0,0,0,0
0057662,-004.200,-001.600,0000.200,0000.0,0000.0,0,0,0,0,3295,23134,13027,35011,0,0,0,0
0057663,-004.000,-001.600,0000.200,0000.0,0000.0,0,0,0,0,3253,23972,13554,34215,0,0,0,0
0057664,-003.800,-001.600,0000.200,0000.0,0000.0,0,0,0,0,3752,24587,13920,33101,0,0,0,0
0057665,-003.600,-001.600,0000.200,0000.0,0000.0,0,0,0,0,3921,25124,14402,32395,0,0,0,0
0057666,-003.400,-001.600,0000.200,0000.0,0000.0,0,0,0,0,3631,22333,12786,35476,0,0,0,0
0057667,-003.200,-001.600,0000.200,0000.0,0000.0,0,0,0,0,3580,23794,13681,34066,0,0,0,0
0057668,-003.000,-001.600,0000.200,0000.0,0000.0,0,0,0,0,3977,25062,14650,32401,0,0,0,0
