DB No.,n_d[i],d_u,d_u_d_v 
0057880,0.00453244,0.157537,0.141449
0057881,0.00453244,0.176403,0.133476
0057882,0.00453244,0.178977,0.126997
0057883,0.00453244,0.174843,0.127914
0057884,0.00453244,0.184028,0.140929
0057885,0.00453244,0.180236,0.112218
0057886,0.00453244,0.180887,0.149455
0057887,0.00453244,0.17622,0.116588
0057888,0.00453244,0.165733,0.145709
0057889,0.00453244,0.173873,0.140922
0057890,0.00453244,0.176839,0.117544
0057891,0.00453244,0.173091,0.16446
0057892,0.00453244,0.165551,0.102156
0057893,0.00453244,0.16164,0.101682
0057894,0.00453244,0.160214,0.119775
0057895,0.00453244,0.166579,0.147958
0057896,0.00453244,0.158305,0.120419
0057897,0.00453244,0.151681,0.11511
0057898,0.00453244,0.163496,0.133313
0057899,0.00453244,0.151069,0.123343
0057900,0.00453244,0.153639,0.1529
0057901,0.00453244,0.167549,0.104723
0057902,0.00453244,0.167183,0.196576
0057903,0.00453244,0.162851,0.153915
0057904,0.00453244,0.157391,0.157169
0057905,0.00453244,0.16467,0.115853
0057906,0.00453244,0.164996,0.109194
0057907,0.00453244,0.164708,0.161868
0057908,0.00453244,0.16293,0.182673
0057909,0.00453244,0.169151,0.158248
0057910,0.00453244,0.164753,0.109963
0057911,0.00453244,0.153857,0.104344
0057912,0.00453244,0.158138,0.109165
0057913,0.00453244,0.171981,0.121249
0057914,0.0045687,0.148488,0.117415
0057915,0.0350893,0.166102,0.111092
0057916,0.476184,0.60527,0.0964999
0057917,0.137871,0.280983,0.129361
0057918,0.00522286,0.146913,0.163102
0057919,0.00453251,0.15015,0.149636
0057920,0.00453244,0.150939,0.155853
0057921,0.00453244,0.158866,0.185134
0057922,0.00453244,0.152629,0.128458
0057923,0.00453244,0.142957,0.168067
0057924,0.00453244,0.10817,0.139613
0057925,0.00453244,0.103355,0.14601
0057926,0.00453244,0.0718887,0.135491
0057927,0.00453244,0.0669869,0.118505
0057928,0.00453244,0.088948,0.144478
0057929,0.00453244,0.0893059,0.152623
0057930,0.00453244,0.106273,0.457885
0057931,0.00453244,0.117276,0.19547
0057932,0.00453244,0.113984,0.140521
0057933,0.00453244,0.184472,0.13262
